Player,Position,Squad,Current age,Club,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
Guillermo Ochoa,GK,mx Mexico,36,1.mx América,1985,3,3,270,3.0,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0
André Onana,GK,cm Cameroon,26,1.it Inter,1996,1,1,80,0.9,1,1.13,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Mohammed Al-Owais,GK,sa Saudi Arabia,30,1.sa Al-Hilal,1991,3,3,270,3.0,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0
Jordan Pickford,GK,eng England,28,1.eng Everton,1994,5,5,450,5.0,4,0.80,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0
Sergio Rochet,GK,uy Uruguay,29,1.uy Nacional,1993,3,3,270,3.0,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0
Mathew Ryan,GK,au Australia,30,1.dk FC Copenhagen,1992,4,4,360,4.0,6,1.50,18,12,66.7,2,0,2,2,50.0,0,0,0,0,
Kasper Schmeichel,GK,dk Denmark,35,1.fr Nice,1986,3,3,270,3.0,3,1.00,11,8,72.7,0,1,2,1,33.3,0,0,0,0,
Kim Seung-gyu,GK,kr Korea Republic,31,1.sa Al-Shabab,1990,4,4,360,4.0,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0
Saad Al Sheeb,GK,qa Qatar,32,1.qa Al Sadd SC,1990,1,1,90,1.0,2,2.00,3,1,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Unai Simón,GK,es Spain,25,1.es Athletic Club,1997,4,4,390,4.3,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,
Yann Sommer,GK,ch Switzerland,33,1.de M'Gladbach,1988,3,3,270,3.0,7,2.33,19,12,63.2,1,0,2,1,33.3,0,0,0,0,
Wojciech Szczęsny,GK,pl Poland,32,1.it Juventus,1990,4,4,360,4.0,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0
Matt Turner,GK,us United States,27,1.eng Arsenal,1994,4,4,360,4.0,4,1.00,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0
Danny Ward,GK,wls Wales,28,1.eng Leicester City,1993,2,1,94,1.0,5,4.79,9,4,44.4,0,0,1,0,0.0,0,0,0,0,
Wéverton,GK,br Brazil,34,1.br Palmeiras,1987,1,0,11,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
